region,county_gr,county,confirmedCases,hospitalized,deaths,criticalCases,recoveredCases
Αττική,Αττικής,Mount Athos,,,,,
Αττική,Αττικής,Athens Prefecture,1378,,65,,
Στερεά Ελλάδα,Δυτικής Ελλάδας,Aetolia-Acarnania,,,,,
Αττική,Αττικής,East Attica,57,,2,,
Ελλάδα,Ελλάδα,Unknown,468,816,29,24,1442
Πελοπόννησος,Πελοποννήσου,Argolis,4,,,,
Πελοπόννησος,Πελοποννήσου,Arcadia,3,,,,
Ήπειρος,Ηπείρου,Arta,3,,,,
Πελοπόννησος,Δυτικής Ελλάδας,Achaea,38,,4,,
Στερεά Ελλάδα,Στερεάς Ελλάδας ,Boeotia,3,,,,
Μακεδονία,Δυτικής Μακεδονίας,Grevena,,,,,
Αττική,Αττικής,West Attica,5,,2,,
Ελλάδα,Ελλάδα,Facilities for refugees,172,,,,
Μακεδονία,Ανατολικής Μακεδονίας & Θράκης ,Drama,,,,,
Νησιά Αιγαίου Πελάγους,Νοτίου Αιγαίου,Dodecanese,2,,,,
Θράκη,Ανατολικής Μακεδονίας & Θράκης,Evros,11,2,7,,
Στερεά Ελλάδα,Στερεάς Ελλάδας ,Euboea,2,,,,
Στερεά Ελλάδα,Στερεάς Ελλάδας ,Evrytania,,,,,
Νησιά Ιονίου Πελάγους,Ιονίων Νήσων,Zakynthos,5,3,1,,
Πελοπόννησος,Δυτικής Ελλάδας,Elis,48,,1,,
Μακεδονία,Κεντρικής Μακεδονίας ,Imathia,3,,,,
Κρήτη,Κρήτης,Herakleion,9,1,1,,
Ήπειρος,Ηπείρου,Thesprotia,,,,,
Μακεδονία,Κεντρικής Μακεδονίας ,Thessaloniki,85,,14,,
Ήπειρος,Ηπείρου,Ioannina,3,,,,
Μακεδονία,Ανατολικής Μακεδονίας & Θράκης ,Kavala,3,,,,
Θεσσαλία,Θεσσαλίας,Karditsa,,,,,
Μακεδονία,Δυτικής Μακεδονίας,Kastoria,85,1,13,,
Νησιά Ιονίου Πελάγους,Ιονίων Νήσων,Corfu (Kerkyra),2,,1,,
Νησιά Ιονίου Πελάγους,Ιονίων Νήσων,Kefalonia,1,,,,
Μακεδονία,Κεντρικής Μακεδονίας ,Kilkis,4,,,,
Μακεδονία,Δυτικής Μακεδονίας,Kozani,71,4,14,,
Πελοπόννησος,Πελοποννήσου,Corinthia,,,,,
Ελλάδα,Ελλάδα,Cruise Ship,119,,,,
Νησιά Αιγαίου Πελάγους,Νοτίου Αιγαίου,Cyclades,4,,,,
Πελοπόννησος,Πελοποννήσου,Laconia,1,,,,
Θεσσαλία,Θεσσαλίας,Larissa,96,,2,,
Κρήτη,Κρήτης,Lasithi,1,,,,
Νησιά Αιγαίου Πελάγους,Βορείου Αιγαίου,Lesbos,8,,,,
Νησιά Ιονίου Πελάγους,Ιονίων Νήσων,Lefkada,1,,,,
Θεσσαλία,Θεσσαλίας,Magnesia,2,,,,
Πελοπόννησος,Πελοποννήσου,Messenia,7,,,,
Θράκη,Ανατολικής Μακεδονίας & Θράκης,Xanthi,52,,5,,
Αττική,Αττικής,Piraeus,56,,,,
Μακεδονία,Κεντρικής Μακεδονίας ,Pella,2,,2,,
Μακεδονία,Κεντρικής Μακεδονίας ,Pieria,6,,,,
Ήπειρος,Ηπείρου,Preveza,1,,,,
Κρήτη,Κρήτης,Rethymno,1,,,,
Θράκη,Ανατολικής Μακεδονίας & Θράκης,Rhodope,1,,1,,
Νησιά Αιγαίου Πελάγους,Βορείου Αιγαίου,Samos,1,,,,
Μακεδονία,Κεντρικής Μακεδονίας ,Serres,8,,1,,
Θεσσαλία,Θεσσαλίας,Trikala,1,,,,
Στερεά Ελλάδα,Στερεάς Ελλάδας ,Phthiotis,3,,,,
Μακεδονία,Δυτικής Μακεδονίας,Florina,1,,,,
Στερεά Ελλάδα,Στερεάς Ελλάδας ,Phocis,,,,,
Μακεδονία,Κεντρικής Μακεδονίας ,Chalkidiki,,,,,
Κρήτη,Κρήτης,Chania,1,,,,
Νησιά Αιγαίου Πελάγους,Βορείου Αιγαίου,Chios,,,,,
